# This file is released under the Creative Commons Attribution 3.0 Unported
# (CC-BY <http://creativecommons.org/licenses/by/3.0/>).
#
# Copyright 2010 Kellen Parker, Allan Simon
# It was compiled by Kellen Parker and Allan Simon
# http://www.sinoglot.com/wu/tools/data/.
#
# Mapping of Chinese characters to their Shanghainese pronunciation in IPA.
#
# ChineseCharacter, IPA
膨	bɑ̃⁵³
婢	bi²³
圮	bi²³
狴	bi²³
髀	bi²³
陛	bi²³
被	bi²³
幣	bi³⁴
坒	bi³⁴
毙	bi³⁴
敝	bi³⁴
斃	bi³⁴
弊	bi³⁴
币	bi³⁴
痹	bi³⁴
篦	bi³⁴
避	bi³⁴
蓖	bi³⁴
薜	bi³⁴
鐾	bi³⁴
鞴	bi³⁴
仳	bi⁵³
啤	bi⁵³
埤	bi⁵³
毗	bi⁵³
庳	bi⁵³
疲	bi⁵³
琵	bi⁵³
皮	bi⁵³
罴	bi⁵³
羆	bi⁵³
鈹	bi⁵³
鲏	bi⁵³
貔	bi⁵³
邳	bi⁵³
鮍	bi⁵³
郫	bi⁵³
铍	bi⁵³
陂	bi⁵³
肥	bi⁵³
芘	bi⁵³
薇	bi⁵³
蚍	bi⁵³
蜱	bi⁵³
鼙	bi⁵³
裨	bi⁵³
脾	bi⁵³
并	biɲ²³
併	biɲ²³
並	biɲ²³
牝	biɲ²³
髌	biɲ²³
髕	biɲ²³
病	biɲ³⁴
平	biɲ⁵³
嬪	biɲ⁵³
坪	biɲ⁵³
嫔	biɲ⁵³
屏	biɲ⁵³
凭	biɲ⁵³
憑	biɲ⁵³
枰	biɲ⁵³
瓶	biɲ⁵³
苹	biɲ⁵³
鲆	biɲ⁵³
貧	biɲ⁵³
顰	biɲ⁵³
鮃	biɲ⁵³
频	biɲ⁵³
评	biɲ⁵³
評	biɲ⁵³
萍	biɲ⁵³
蘋	biɲ⁵³
颦	biɲ⁵³
贫	biɲ⁵³
頻	biɲ⁵³
别	biɪˀ¹²
別	biɪˀ¹²
吡	biɪˀ¹²
鼻	biɪˀ¹²
辟	biɪˀ¹²
罷	bo³⁴
罢	bo³⁴
埲	boŋ²³
扒	bo⁵³
杷	bo⁵³
筢	bo⁵³
爬	bo⁵³
琶	bo⁵³
耙	bo⁵³
塳	boŋ⁵³
篷	boŋ⁵³
蓬	boŋ⁵³
僕	boˀ¹²
卜	boˀ¹²
仆	boˀ¹²
泊	boˀ¹²
亳	boˀ¹²
箔	boˀ¹²
瀑	boˀ¹²
缚	boˀ¹²
縛	boˀ¹²
礴	boˀ¹²
雹	boˀ¹²
鏷	boˀ¹²
镤	boˀ¹²
蔔	boˀ¹²
薄	boˀ¹²
簿	bu²³
瓿	bu²³
部	bu²³
步	bu³⁴
捕	bu³⁴
哺	bu³⁴
埠	bu³⁴
薄	bu³⁴
婆	bu⁵³
匍	bu⁵³
皤	bu⁵³
蒲	bu⁵³
鄱	bu⁵³
脯	bu⁵³
莆	bu⁵³
菩	bu⁵³
大	da³⁴
汏	da³⁴
断	dø²³
斷	dø²³
緞	dø²³
缎	dø²³
毈	dø³⁴
段	dø³⁴
椴	dø³⁴
团	dø⁵³
團	dø⁵³
抟	dø⁵³
摶	dø⁵³
潭	dø⁵³
燂	dø⁵³
谭	dø⁵³
譚	dø⁵³
蕁	dø⁵³
荨	dø⁵³
覃	dø⁵³
稻	dɔ²³
道	dɔ²³
氮	dɛ²³
淡	dɛ²³
澹	dɛ²³
膻	dɛ²³
萏	dɛ²³
窦	dɤ³⁴
竇	dɤ³⁴
痘	dɤ³⁴
逗	dɤ³⁴
读	dɤ³⁴
讀	dɤ³⁴
豆	dɤ³⁴
導	dɔ³⁴
悼	dɔ³⁴
导	dɔ³⁴
焘	dɔ³⁴
盗	dɔ³⁴
盜	dɔ³⁴
燾	dɔ³⁴
蹈	dɔ³⁴
啖	dɛ³⁴
惮	dɛ³⁴
憚	dɛ³⁴
弹	dɛ³⁴
彈	dɛ³⁴
但	dɛ³⁴
蛋	dɛ³⁴
投	dɤ⁵³
头	dɤ⁵³
骰	dɤ⁵³
頭	dɤ⁵³
啕	dɔ⁵³
桃	dɔ⁵³
濤	dɔ⁵³
淘	dɔ⁵³
涛	dɔ⁵³
掏	dɔ⁵³
逃	dɔ⁵³
陶	dɔ⁵³
鞀	dɔ⁵³
萄	dɔ⁵³
鼗	dɔ⁵³
壇	dɛ⁵³
坛	dɛ⁵³
檀	dɛ⁵³
昙	dɛ⁵³
曇	dɛ⁵³
澹	dɛ⁵³
弹	dɛ⁵³
彈	dɛ⁵³
痰	dɛ⁵³
罈	dɛ⁵³
郯	dɛ⁵³
錟	dɛ⁵³
锬	dɛ⁵³
谈	dɛ⁵³
談	dɛ⁵³
奪	deˀ¹²
沓	deˀ¹²
夺	deˀ¹²
凸	deˀ¹²
特	deˀ¹²
突	deˀ¹²
哒	dɑˀ¹²
噠	dɑˀ¹²
達	dɑˀ¹²
跶	dɑˀ¹²
躂	dɑˀ¹²
达	dɑˀ¹²
踏	dɑˀ¹²
盪	dɑ̃²³
荡	dɑ̃²³
蕩	dɑ̃²³
宕	dɑ̃³⁴
凼	dɑ̃³⁴
碭	dɑ̃³⁴
砀	dɑ̃³⁴
菪	dɑ̃³⁴
趤	dɑ̃³⁴
塘	dɑ̃⁵³
唐	dɑ̃⁵³
搪	dɑ̃⁵³
溏	dɑ̃⁵³
樘	dɑ̃⁵³
棠	dɑ̃⁵³
堂	dɑ̃⁵³
糖	dɑ̃⁵³
瑭	dɑ̃⁵³
螳	dɑ̃⁵³
醣	dɑ̃⁵³
膛	dɑ̃⁵³
螗	dɑ̃⁵³
戥	dən²³
盹	dən²³
等	dən²³
躉	dən²³
趸	dən²³
凳	dən³⁴
嶝	dən³⁴
瞪	dən³⁴
炖	dən³⁴
燉	dən³⁴
磴	dən³⁴
砘	dən³⁴
顿	dən³⁴
鐙	dən³⁴
镫	dən³⁴
頓	dən³⁴
墩	dən⁵³
噔	dən⁵³
敦	dən⁵³
吨	dən⁵³
噸	dən⁵³
竳	dən⁵³
礅	dən⁵³
灯	dən⁵³
燈	dən⁵³
登	dən⁵³
簦	dən⁵³
蹲	dən⁵³
蹬	dən⁵³
鐓	dən⁵³
镦	dən⁵³
殄	di²³
簟	di²³
墊	di³⁴
垫	di³⁴
淀	di³⁴
殿	di³⁴
澱	di³⁴
佃	di³⁴
奠	di³⁴
电	di³⁴
